"","Unique_ID","Name","Genre","Song_Name","Views","Comments","Likes","Popularity","Followers","Day_Stamp","Month_Stamp","Year_Stamp","Hour_Stamp","Min_Stamp","Sec_Stamp"
"5",1428029,"Tritonal","danceedm","Escape (feat. Steph Jones)",110024,4.39444915467244,2666,4746,201030,17,9,2016,20,50,19
"11",1457484,"TWOLOUD","danceedm","BIG BANG Radio Episode 011 :: PODCAST",14411,3.13549421592915,3863,1050,60805,29,9,2014,10,29,11
"13",1508244,"WB x MB","electronic","WE BANG - HANDS UP - OUT NOW ON SMASHED BEATZ",3636,3.73766961828337,4824,1,15839,12,7,2011,21,55,3
"16",680536,"MMNC","danceedm","Joakim Karud - Rock Angel",55360,3.43398720448515,9064,5087,271,6,1,2018,19,54,59
"19",24991,"AC Slater","electronic","Big Sean - My Last (AC Slater Remix)",26587,3.80666248977032,4743,3032,113537,27,10,2011,23,28,43
"20",1231971,"ROJAS","all-music","Icy Narco & Pollari - Ice (Prod. Rojas & Adam On The Track)",167110,3.85014760171006,1707,4616,60435,10,2,2018,2,14,25
"22",445211,"Aminé","hiphoprap","Said & Done (Prod. Pasqué)",250198,3.29583686600433,4066,3042,198880,31,8,2015,13,29,36
"25",125159,"Cat Dealers","electronic","Cat Dealers Live at ULTRA MUSIC FESTIVAL BRASIL 2016",909385,6.14846829591765,2519,4538,156764,17,10,2016,23,4,49
"27",257221,"DJ GUI MARQUES","rbsoul","MEGA DO GUI M@RQUES & DO DELUC@ 002",276204,4.24849524204936,7175,3736,47883,25,9,2018,21,46,56
"29",112485,"Corridos Delux","latin","Bajo Perfil - Tito Torbellino Jr Ft. Tony Aguirre",520389,3.17805383034795,5437,4627,4366,12,11,2018,6,14,33
"31",1143824,"Resident Advisor","ambient","RA Live - 22.04.18 - Palms Trax at Brilliant Corners",24243,3.87120101090789,448,1102,143726,11,5,2018,8,56,42
"34",629846,"MAC AYRES","pop","somebody new (live from my bedroom)",176412,3.93182563272433,3121,3677,36027,3,12,2016,3,27,30
"36",1466298,"Uprise Music","electronic","Illy Noise - Comeback (VIP Mix)",137403,4.0943445622221,3317,121,53681,18,7,2014,18,49,28
"52",598158,"Lil Keed","all-music","Red Hot Ft. Trippie Redd",588323,4.56434819146784,1132,4237,33451,12,12,2018,5,0,20
"53",137463,"CloZee","electronic","CloZee - Dream Big",581118,5.39362754635236,8704,865,109236,11,11,2014,19,47,1
"56",907865,"Morgan Page","danceedm","In The Air - Live in Washington D.C. @ Fur, NYE 2012",18560,4.0943445622221,3727,5110,155645,9,1,2012,22,59,50
"63",897239,"MONTANA of 300","all-music","Undertaker [Prod. By Congo Beats]",350807,3.55534806148941,6444,2098,156392,20,5,2018,10,49,8
"66",152793,"DavidJacomeTCP.","danceedm","Radical! (Take on Mufbin's bonetrousle)",3282,3.68887945411394,1058,3088,1125,21,1,2018,23,59,9
"70",1464763,"UNDER - VIETRAP","all-music","THẰNG ĐIÊN - JUSTATEE x PHƯƠNG LY",2005623,4.72738781871234,2546,521,885,12,10,2018,13,59,2
"72",1380693,"The Upbeats","electronic","The Upbeats - Diffused",355330,6.10702288774225,7213,4,83052,14,1,2013,18,59,31
"76",1548101,"Yoe Mase","electronic","After Hours",319531,4.27666611901606,6361,5713,20822,1,3,2017,17,47,9
"85",1128115,"Quỳnh Anh Shin","danceedm","Sorry Seems To Be The Hardest Word 2019 - Tom HP Full (Re-up)",3462,5.2040066870768,4812,2953,1692,11,2,2019,8,45,8
"87",1235905,"RÜFÜS DU SOL","electronic","My Number/Charlotte (Foals over Booka Shade - RÜFÜS cover)",646908,5.0998664278242,1124,1865,207678,6,3,2014,1,32,46
"91",1392493,"Tim Gunter","trap","Tim Gunter - Running Away",313494,4.12713438504509,7898,408,49788,16,10,2017,17,2,16
"92",1392495,"Tim Gunter","trap","Best Night Ever - Fire Me Up (Tim Gunter Remix)",177746,3.87120101090789,4217,56,49788,29,11,2016,17,51,9
"96",1543087,"Yheti","electronic","THE FLOWER OF LIFE (free download through 710 Records)",23747,3.80666248977032,7721,1145,52573,26,1,2013,23,54,28
