"","Unique_ID","Name","Views","Comments","Likes","Popularity","Followers","Day_Stamp","Month_Stamp","Year_Stamp","Hour_Stamp","Min_Stamp","Sec_Stamp","songs.Genreall.music","songs.Genrealternativerock","songs.Genreambient","songs.Genreclassical","songs.Genrecountry","songs.Genredanceedm","songs.Genredeephouse","songs.Genredisco","songs.Genredrumbass","songs.Genredubstep","songs.Genreelectronic","songs.Genrefolksingersongwriter","songs.Genrehiphoprap","songs.Genreindie","songs.Genrelatin","songs.Genremetal","songs.Genrepop","songs.Genrerbsoul","songs.Genrereggaeton","songs.Genrerock","songs.Genretrap"
"5",1428029,764,110024,4.39444915467244,2666,4746,201030,17,9,2016,20,50,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",1457484,774,14411,3.13549421592915,3863,1050,60805,29,9,2014,10,29,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",1508244,806,3636,3.73766961828337,4824,1,15839,12,7,2011,21,55,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"16",680536,520,55360,3.43398720448515,9064,5087,271,6,1,2018,19,54,59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",24991,23,26587,3.80666248977032,4743,3032,113537,27,10,2011,23,28,43,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"20",1231971,652,167110,3.85014760171006,1707,4616,60435,10,2,2018,2,14,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",445211,40,250198,3.29583686600433,4066,3042,198880,31,8,2015,13,29,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"25",125159,117,909385,6.14846829591765,2519,4538,156764,17,10,2016,23,4,49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"27",257221,197,276204,4.24849524204936,7175,3736,47883,25,9,2018,21,46,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"29",112485,141,520389,3.17805383034795,5437,4627,4366,12,11,2018,6,14,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"31",1143824,639,24243,3.87120101090789,448,1102,143726,11,5,2018,8,56,42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",629846,483,176412,3.93182563272433,3121,3677,36027,3,12,2016,3,27,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"36",1466298,784,137403,4.0943445622221,3317,121,53681,18,7,2014,18,49,28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"52",598158,459,588323,4.56434819146784,1132,4237,33451,12,12,2018,5,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",137463,131,581118,5.39362754635236,8704,865,109236,11,11,2014,19,47,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"56",907865,531,18560,4.0943445622221,3727,5110,155645,9,1,2012,22,59,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",897239,527,350807,3.55534806148941,6444,2098,156392,20,5,2018,10,49,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",152793,160,3282,3.68887945411394,1058,3088,1125,21,1,2018,23,59,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70",1464763,780,2005623,4.72738781871234,2546,521,885,12,10,2018,13,59,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
